MAPID,LATITUDE,LONGITUDE,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0001,49.234947,-123.027254,plaza,Parks,spring to fall,,Aberdeen Park - drinking fountain - 2005.JPG
DFPB0002,49.275858,-123.024141,SW side of Field house,Parks,spring to fall,,
DFPB0003,49.285554,-123.142392,west plaza gateway,Parks,spring to fall,,Alexandra Park - drinking fountain - 2003.jpg
DFPB0004,49.26098,-123.184759,S-side of playground,Parks,spring to fall,,
DFPB0005,49.278811,-123.106194,by amphitheatre steps near bas,Parks,spring to fall,,
DFPB0006,49.277951,-123.103575,north side of fieldhouse,Parks,spring to fall,,
DFPB0007,49.262128,-123.155318,S-side of playground,Parks,spring to fall,,Arbutus Greenway Park - drinking fountain - 2005.JPG
DFPB0008,49.248679,-123.157991,S-side of playground,Parks,spring to fall,,
DFPB0009,49.285919,-123.120939,NW plaza,Parks,spring to fall,,Discovery Square - drinking fountain - 2005.JPG
DFPB0010,49.245614,-123.175342,W of wading pool,Parks,spring to fall,,
DFPB0011,49.255191,-123.050071,adjacent to field house,Parks,spring to fall,,Beaconsfield Park - drinking fountain - 2005.JPG
DFPB0012,49.215521,-123.056107,in front of wading pool,Parks,spring to fall,,
DFPB0132,49.24745,-123.066226,S-side of wading pool,Parks,spring to fall,,
DFPB0013,49.290415,-123.050483,N-side of wading pool,Parks,spring to fall,,
DFPB0030,49.2846537,-123.101821,,Parks,,,
DFPB0014,49.256926,-123.172514,S-side of wading pool,Parks,spring to fall,,
DFPB0016,49.249585,-123.191688,W-side of spray park,Parks,spring to fall,,
DFPB0017,49.268012,-123.125901,N of school off of seawall,Parks,spring to fall,,
DFPB0018,49.264372,-123.083134,S central side along jogging c,Parks,spring to fall,,
DFPB0019,49.261644,-123.079061,S-side of skate park,Parks,spring to fall,,
DFPB0020,49.256746,-123.073107,,Parks,,,
DFPB0021,49.270699,-123.050137,E-side of wading pool,Parks,spring to fall,,Clinton Park - drinking fountain - 2005.JPG
DFPB0022,49.271281,-123.051686,N-side of B-ball diamond,Parks,spring to fall,,
DFPB0023,49.289871,-123.125385,near playground,Parks,spring to fall,,
DFPB0024,49.236946,-123.03638,in front of wading pool,Parks,spring to fall,,
DFPB0025,49.231825,-123.113005,in front of wading pool,Parks,spring to fall,,Columbia Park - drinking fountain - 2005.JPG
DFPB0027,49.262869,-123.159336,near fieldhouse,Parks,year-round,,Connaught Park - drinking fountain - 2005.JPG
DFPB0026,49.2617676,-123.16143,,Parks,,,
DFPB0028,49.2738086,-123.113057,,Parks,,,
DFPB0029,49.272798,-123.114649,"underneath bridge, near basket",Parks,spring to fall,,Coopers Park - drinking fountain - 2005.JPG
DFPB0031,49.27426353,-123.1030091,,Parks,,,
DFPB0032,49.271632,-123.12572,near playground and tennis court,Parks,spring to fall,,
DFPB0033,49.272394,-123.123289,"E area, near playground",Parks,spring to fall,,
DFPB0034,49.294985,-123.136001,near Stanley Park entrance,Parks,year-round,,
DFPB0036,49.251936,-123.122502,exterior of building,Parks,spring to fall,,Douglas Park - drinking fountain 2 - 2005.JPG
DFPB0035,49.253089,-123.122317,in front of wading pool,Parks,spring to fall,,Douglas Park - drinking fountain 1 - 2005.JPG
DFPB0037,49.205406,-123.132849,near playground,Parks,spring to fall,,Ebisu Park - drinking fountain - 2008.JPG
DFPB0038,49.233484,-123.163401,N-side of field house,Parks,spring to fall,,
DFPB0039,49.276991,-123.123796,,Parks,,,
DFPB0040,49.2765359,-123.124282,,Parks,,,
DFPB0041,49.287419,-123.142573,Davie st entrance,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg
DFPB0042,49.286027,-123.143035,opposite entrance to bathhouse,Parks,year-round,,English Bay Park - drinking fountain - 2005.jpg
DFPB0043,49.2789007,-123.137935,concessions,Parks,spring to fall,,
DFPB0044,49.254842,-123.029979,in front of wading pool,Parks,spring to fall,,
